Temperature,irradiation,Tc,eff,PowerS,wind speed,V(t),PowerW,PowerNuc,Flow_m3ps,PowerH,P_el
12.45,11.3871,12.8,0.172567925,9.825241111,1.28,1.09,68.91578102,10000000,5,833850,68684000
14.9,108.839,18.3,0.168863873,91.89487551,1.3,1.11,73.37264657,10000000,5,833850,70688000
17.25,284.677,26.2,0.163574445,232.829412,1.52,1.29,125.2580039,10000000,5,833850,70384000
19.14,445.387,33.1,0.158923038,353.9112761,1.77,1.5,203.8681656,10000000,5,833850,71252000
20.35,535.645,37.1,0.156207306,418.3583128,1.98,1.68,290.9046126,10000000,5,833850,69164000
21.05,637.226,41,0.153594439,489.3718514,2.24,1.9,426.4783886,10000000,5,833850,62692000
21.37,646.29,41.6,0.15318842,495.0207204,2.37,2.01,500,10000000,5,833850,59756000
21.33,609.161,40.4,0.153998492,469.0493769,2.39,2.03,500,10000000,5,833850,58728000
20.99,463.935,35.5,0.157280481,364.8396001,2.29,1.95,459.6876546,10000000,5,833850,59484000
20.32,344.548,31.1,0.160248686,276.0668221,2.1,1.79,352.8574638,10000000,5,833850,59220000
18.85,194.516,24.9,0.164394861,159.8871535,1.79,1.52,213.545598,10000000,5,833850,57636000
16.9,59.9677,18.8,0.168547459,50.53701738,1.34,1.14,80.69423782,10000000,5,833850,58576000
15.63,0,15.6,0.170666664,0,1.11,0.94,39.51834267,10000000,5,833850,64532000
14.95,0,14.9,0.17112312,0,1.17,1,49.41404568,10000000,5,833850,67680000
14.27,0,14.3,0.171579576,0,1.21,1.03,55.90042595,10000000,5,833850,69540000
13.61,0,13.6,0.172027339,0,1.24,1.06,61.63294622,10000000,5,833850,63932000
12.99,0,13,0.172442556,0,1.27,1.08,67.05258179,10000000,5,833850,66816000
12.49,0,12.5,0.17278163,0,1.29,1.09,70.17301457,10000000,5,833850,62280000
19.72,0,19.7,0.167907849,0,1.28,1.09,68.91578102,10000000,5,833850,65420000
19.3,0,19.3,0.16819086,0,1.46,1.24,107.9604014,10000000,5,833850,69380000
18.98,0,19,0.168406487,0,1.48,1.25,113.047983,10000000,5.2,867204,72644000
18.75,0,18.7,0.168563692,0,1.46,1.24,108.7978706,10000000,5.2,867204,71912000
18.63,0,18.6,0.168640105,0,1.47,1.25,110.4868485,10000000,5.2,867204,70852000
19.07,0.166667,19.1,0.168342332,0.140285557,1.47,1.25,110.4868485,10000000,5.2,867204,60452000
21.19,72.8667,23.5,0.165385156,60.25535268,1.52,1.29,125.4637091,10000000,5.2,867204,60144000
24.04,241.467,31.6,0.159914452,193.0703145,1.82,1.54,222.4542289,10000000,5.2,867204,68948000
26.47,424.367,39.7,0.154423421,327.661019,2.03,1.73,317.4946328,10000000,5.2,867204,67172000
28.18,587.6,46.5,0.149836133,440.2185592,2.01,1.71,307.8123709,10000000,5.2,867204,64244000
29.29,698.967,51.1,0.146738636,512.8273203,2.15,1.82,376.053417,10000000,5.2,867204,70084000
30,768.367,54,0.144798833,556.2932257,2.32,1.97,478.3377861,10000000,5.2,867204,66060000
30.4,760.5,54.2,0.144699405,550.2194865,2.36,2.01,500,10000000,5.2,867204,63736000
30.5,727.833,53.2,0.145317678,528.835007,2.26,1.92,439.1197119,10000000,5.2,867204,58880000
30.28,598.9,49,0.148183132,443.7343878,2.06,1.75,330.7055368,10000000,5.2,867204,64796000
29.67,454.7,43.9,0.15163064,344.73226,1.76,1.5,201.0205284,10000000,5.2,867204,61248000
28.44,254.233,36.4,0.156676312,199.1614445,1.43,1.21,100.5868196,10000000,5.2,867204,69920000
26.45,100.8,29.6,0.161250359,81.27018094,1.11,0.95,40.52055458,10000000,5.2,867204,68976000
24.57,4.5,24.7,0.164544991,3.702262298,0.91,0.77,15.82923747,10000000,5.2,867204,69276000
23.37,0,23.4,0.165450575,0,0.97,0.83,22.47275109,10000000,5.2,867204,60552000
22.45,0,22.4,0.166070503,0,1.15,0.97,45.55514143,10000000,5.2,867204,62860000
21.61,0,21.6,0.166636524,0,1.25,1.07,63.72952744,10000000,5.2,867204,64660000
20.93,0,20.9,0.167090285,0,1.31,1.11,74.06536428,10000000,5.2,867204,60940000
20.33,0,20.3,0.167494586,0,1.39,1.18,91.2266535,10000000,5.2,867204,63404000
22.28,0,22.3,0.166180203,0,1.43,1.22,101.3901874,10000000,5.2,867204,69420000
21.75,0,21.8,0.166538886,0,1.355,1.15,84.15394627,10000000,5.2,867204,71896000
21.36,0,21.4,0.166799727,0,1.377,1.17,89.13736904,10000000,5.4,900558,67848000
21.08,0,21.1,0.166993185,0,1.368,1.16,86.98080509,10000000,5.4,900558,71128000
20.93,0,20.9,0.167090959,0,1.381,1.17,89.86374782,10000000,5.4,900558,63928000
22.37,19.4516,23,0.165711913,16.11680925,1.413,1.2,97.30441313,10000000,5.4,900558,64328000
25.35,145.548,29.9,0.161046069,117.1996663,1.49,1.27,116.6003493,10000000,5.4,900558,65340000
28.56,350.968,39.5,0.154557661,271.2239664,1.81,1.54,219.7367448,10000000,5.4,900558,63828000
31.12,516.645,47.3,0.149345206,385.792271,1.816,1.54,222.2435473,10000000,5.4,900558,71528000
32.73,721.323,55.3,0.143950559,519.1742463,1.716,1.46,185.3482344,10000000,5.4,900558,67104000
