Temperature,irradiation,Tc,eff,PowerS,wind speed,V(t),PowerW,PowerNuc,Flow_m3ps,PowerH,P_el
7.83,0,7.8,0.175920401,0,1.1871,1.01,52.06562356,10000000,4.88,813837.6,64996000
7.46,0,7.5,0.176170373,0,1.21613,1.03,57.02250683,10000000,4.88,813837.6,60812000
7.12,0,7.1,0.176396431,0,0.88,0.75,12.98727828,10000000,4.88,813837.6,64380000
6.86,0,6.9,0.176572498,0,0.913333,0.78,16.15681767,10000000,4.88,813837.6,68776000
6.76,0,6.8,0.176639881,0,0.956667,0.81,20.63745284,10000000,4.88,813837.6,69356000
6.54,0,6.5,0.176789863,0,1.00667,0.86,26.33685776,10000000,4.88,813837.6,72796000
6.61,0,6.6,0.176744218,0,1.02,0.87,27.95550552,10000000,4.88,813837.6,72320000
8.17,36.6129,9.3,0.174921195,32.02186119,1.06,0.9,33.0722067,10000000,4.88,813837.6,70020000
11.19,165.581,16.4,0.170170919,140.8853551,1.38,1.17,89.71729899,10000000,4.88,813837.6,69892000
14.06,265.806,22.4,0.166123711,220.7833951,1.56333,1.33,136.7307987,10000000,4.88,813837.6,66636000
16.26,377.355,28.1,0.162294504,306.2132132,1.48,1.26,113.9085804,10000000,4.88,813837.6,63924000
17.58,440.323,31.3,0.160079575,352.4335933,1.62667,1.38,155.7883175,10000000,4.88,813837.6,58392000
18.19,466.258,32.8,0.159122615,370.9609623,1.73,1.47,190.2178197,10000000,4.88,813837.6,58376000
18.2,414.806,31.2,0.160197365,332.2541419,1.80667,1.54,218.573001,10000000,4.88,813837.6,59136000
17.52,316.226,27.4,0.162734034,257.3036635,1.87,1.59,243.8841348,10000000,4.88,813837.6,66820000
15.37,190.323,21.3,0.166828504,158.7565069,1.84333,1.57,233.0121851,10000000,4.88,813837.6,63148000
12.82,47.0645,14.3,0.171566661,40.37349564,1.72,1.46,186.6990628,10000000,4.88,813837.6,71696000
11.57,0,11.6,0.173396774,0,1.49667,1.27,118.2752605,10000000,4.88,813837.6,60984000
10.97,0,11,0.173801075,0,1.10333,0.94,39.06793807,10000000,4.88,813837.6,69932000
10.26,0,10.3,0.174281452,0,0.743333,0.63,2.315086743,10000000,4.88,813837.6,63184000
9.63,0,9.6,0.174709667,0,0.643333,0.55,0,10000000,4.88,813837.6,64124000
9.11,0,9.1,0.17505963,0,0.696667,0.59,0,10000000,4.88,813837.6,68080000
8.61,0,8.6,0.175396548,0,0.736667,0.63,1.883427011,10000000,4.88,813837.6,62720000
8.13,0,8.1,0.17571825,0,0.773333,0.66,4.355450747,10000000,4.88,813837.6,66348000
